x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0457537828	38.9118781278	8177627	5582191	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2000 BLOCK HILLYER PL NW SOUTH SIDE	DC	4D	800049	45.0	396032	138224	Parking_Violations_in_January_2012.csv	2012-01-11T14:14:00.000Z
-77.0243970627	38.9369727113	11454861	4503343	False	P173	NO PARKING STREET CLEANING	3800 BLOCK GEORGIA AV NW WEST SIDE	MD	4D	809816	8388.0	397885	141009	Parking_Violations_in_May_2012.csv	2012-05-16T23:34:00.000Z
-77.0121522285	38.8954642246	10118134	10144949	False	P039	PARK AT EXPIRED METER	0500 BLOCK 1ST ST NW EAST SIDE	MD	SU	815222	13135.0	398946	136401	Parking_Violations_in_November_2009.csv	2009-11-16T08:06:00.000Z
-77.0355674446	38.9013599197	7370488	10708272	False	P039	PARK AT EXPIRED METER	1600 BLOCK EYE ST NW NORTH SIDE	VA	4D	800758	555.0	396915	137056	Parking_Violations_in_April_2009.csv	2009-04-27T11:07:00.000Z
-77.0291012144	38.9325845912	761532	2208493	False	P012	DISOBEYING OFFICIAL SIGN	1300BLOCK MONROE ST NW NORTH SIDE	MD		803400	2884.0	397477	140522	Parking_Violations_in_November_2013.csv	2013-11-09T12:19:00.000Z
-76.9762306875	38.9359729203	10956042	8696466	False	P076		3800 BLOCK 20TH ST NE EAST SIDE	VA	PU	800139	119.0	402061	140898	Parking_Violations_in_February_2010.csv	2010-02-24T00:26:00.000Z
-77.0731315235	38.9169899445	2091578	10564372	False	P029	PARK WITH LEFT WHEEL TO THE CURB	3800 BLOCK U ST, NW SOUTH SIDE	DC	4D	813015	11191.0	393658	138793	Parking_Violations_in_July_2009.csv	2009-07-09T20:11:00.000Z
-77.0803055091	38.9492529962	326297	380175	False	P039	PARK AT EXPIRED METER	4600 BLOCK WISCONSIN AVE NW EAST SI	TN	4D	806860	5886.0	393039	142375	Parking_Violations_in_April_2015.csv	2015-03-19T21:45:00.000Z
-77.0246323799	38.9170012253	4700079	6567015	False	P039	PARK AT EXPIRED METER	0900 BLOCK U ST NW NORTH SIDE	NC	2D	813703	11794.0	397864	138792	Parking_Violations_in_June_2011.csv	2011-06-06T19:46:00.000Z
-77.0387132887	38.8987555032	10468449	197796	False	P039	PARK AT EXPIRED METER	1700 BLOCK PENNSYLVANIA AVE NW NORT	VA	UT	801254	1197.0	396642	136767	Parking_Violations_in_May_2015.csv	2015-05-15T21:20:00.000Z
-77.0417106879	38.8989616637	12727385	4537233	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	0800 BLOCK 18TH ST NW WEST SIDE	MD	TK	813123	11282.0	396382	136790	Parking_Violations_in_May_2012.csv	2012-05-17T07:18:00.000Z
-77.0262048331	38.8971735069	3351971	9908160	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	1000 F ST NW BLOCK NORTH SIDE	MD		243409	11599.0	397727	136591	Parking_Violations_in_October_2011.csv	2011-10-20T17:47:00.000Z
-77.0601366487	38.9039082294	4949724	11638798	False	P039	PARK AT EXPIRED METER	1000 BLOCK THOMAS JEFFERSON ST NW E	VA	4D	812478	10724.0	394784	137340	Parking_Violations_in_December_2009.csv	2009-12-15T20:25:00.000Z
-76.9908980069	38.876501857	8517614	8645217	False	P042	PARK ON PUBLIC SPACE	1200 BLOCK M ST SE NORTH SIDE	VA	4D	807210	6181.0	400790	134296	Parking_Violations_in_January_2010.csv	2010-01-21T15:02:00.000Z
-77.0197043559	38.9013997059	168558	7556455	False	P039	PARK AT EXPIRED METER	0600 BLOCK MASSACHUSETTS AV NW SOUT	MD	VA	809776	8351.0	398291	137060	Parking_Violations_in_October_2010.csv	2010-10-14T20:57:00.000Z
-77.0842949422	38.9572495352	4091674	9932939	False	P039	PARK AT EXPIRED METER	5200 WISCONSIN AVE NW BLOCK EAST SI	DC		265898	12148.0	392694	143263	Parking_Violations_in_July_2011.csv	2011-07-06T19:36:00.000Z
-77.0127719047	38.8797895771	1303383	4018846	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	800 BLOCK DELAWARE AV SW EAST SIDE	MD	4D	800332	281.0	398892	134661	Parking_Violations_in_August_2012.csv	2012-08-21T11:19:00.000Z
-77.0580729818	38.9039002651	5178726	14067570	False	P031	UNAUTHORIZED VEHICLE IN LOADING ZONE	1000 BLOCK 29TH ST NW WEST SIDE	MD	4D	812325	10588.0	394963	137339	Parking_Violations_in_November_2015.csv	2015-11-20T10:24:00.000Z
